cod_barras,descricao, novo Codigo interno
2001005,PROMO RED BULL 250ML 2UN,undefined
2001006,PROMO RED BULL+RED BULL RED 250ML,undefined
2001007,PROMO RED BULL+RED BULL BLUE 250ML,undefined
2001008,PROMO RED BULL+RED BULL SILVER250ML,undefined
2001009,PROMO RED BULL+RED BULL S.FREE250ML,undefined
2001010,PROMO RED BULL RED 250ML 2UN,undefined
2001011,PROMO RED BULL RED+BLUE 250ML,undefined
2001012,PROMO RED BULL RED+SILVER 250ML,undefined
2001013,PROMO RED BULL RED+SUGAR FREE 250ML,undefined
2001014,PROMO RED BULL BLUE 250ML 2UN,undefined
2001015,PROMO RED BULL BLUE+SILVER 250ML,undefined
2001016,PROMO RED BULL BLUE+SUGAR FREE250ML,undefined
2001017,PROMO RED BULL SILVER 250ML 2UN,undefined
2001018,PROMO RED BULL SILVER+SUG.FREE250ML,undefined
2001019,PROMO RED BULL SUGAR FREE 250ML 2UN,undefined
2001020,PROMO TRIDENT CANELA 8G 2UN,undefined
2001021,PROMO TRIDENT FRESH CEREJA 8G 2UN,undefined
2001022,PROMO TRIDENT FRESH HERBAL 8G 2UN,undefined
2001023,PROMO TRIDENT HORTELA 8G 2UN,undefined
2001025,PROMO TRIDENT MENTA 8G 2UN,undefined
2001026,PROMO TRIDENT MORANGO 8G 2UN,undefined
2001027,PROMO TRIDENT TUTTI FRUTTI 8G 2UN,undefined
2001028,CAPPUCCINO VIENENSE+MIAMI BEACH,undefined
2001029,PROMO SAND MARSELHA+COCA COLA 350ML,undefined
2001030,PROMO SAND MARSELHA+C.COLA ZER350ML,undefined
1801007,RECARGAS ELETRONICAS,undefined
1801010,RODO LIMPA VIDRO COMB. 25CM C/CABO,undefined
1801011,ARROZ BENF.BLUE SOFT POLIDO T1 1K,undefined
1801013,FEIJAO CARIOCA,undefined
1801014,FEIJAO PRETO,undefined
1801015,ACUCAR CRISTAL TP 1 GRANELLI 1KG,undefined
1801017,FARINHA DE MAND.BCA GRANELLI TP1 1K,undefined
1801018,OLEO SOJA REFINADO ABC,undefined
1801020,FAR TRIGO BRANDINI 1KG TP 1,undefined
1801021,SAL LIRIO,undefined
1801023,EXTRATO DE TOMATE TAMBAU 140GR,undefined
1801025,DOCE DE GOIABA 300GR,undefined
1801026,CAPA PLASTICA,undefined
1801027,SUPORTE P/MANGUEIRA DE ENCAIXE,undefined
1801028,BALDE DE ALUMINIO C/ALCA N 22,undefined
1801029,AFERIDOR DE COMBUSTIVEIS 20LTS INM,undefined
1801030,TERMINAL FIXO 3/4 LATAO,undefined
1801031,TERMINAL GIRATORIO 3/4 LATAO,undefined
1801032,CONE P/SINALIZAÇAO 75CM LAR/BCO GR,undefined
1801033,MANGUEIRA BOMBA COMB 3/4 C/AÇO,undefined
1801034,SILENTOQUE CX SOB C/1 EMBUTE 4X2,undefined
1801035,PIALPLUS PL 2P SEP HOR 4X2,undefined
1801036,PIALPLUS SUP 3 MOD 4X2,undefined
1801037,CB FLEX 1KV 03X002,50MM PT,undefined
1801038,PIALPLUS MOD TOM 2P+T PB 20A 4,8 MM,undefined
1801039,PIALPLUS TOM 2P+T PB 10A 4MM BR,undefined
1801040,PARAF MAD CAB CH RS 4,8 X 50MM N08,undefined
1801041,SILENTOQUE CX SOB C/3 EMBUTE 4X2,undefined
1801042,POST IT 76X76 POP-UP,undefined
1801043,TONER BROTHER TN PRETO,undefined
1801044,MON 18,5 LED PR AOC,undefined
1901001,MODULO PECA AQUI 65CM,undefined
1901002,MODULO CORNER CONDIMENTADORA,undefined
1901003,MODULO VITRINE AQUECIDA OU FRIA 105,undefined
1901004,MOD PECA AQUI AJUSTAVEL,undefined
1901005,MODULO PORTINHOLA COM TAMPO,undefined
1901006,TESTEIRA AMARELA,undefined
1901007,TESTEIRA CAFE E SALGADO,undefined
1901008,ADESIVO BEM VINDO,undefined
1901009,EXPOSITOR REFRIGERADO VEGA 125 LX G,undefined
1901010,SOTA - FORNO P/ ALIMENTO DE AQUECIM,undefined
1901011,FRITADEIRA VENTLESS AUTOMATICA DE B,undefined
1901012,FORNO CONVECCAO CONVECSHOW W3 DE,undefined
1801045,SHELL HELIX HX3 20W50 4X4,undefined
1801046,BOBINA REV TERM ECF 79MMX130M,undefined
1801047,PREGO C/ CABECA 2.1/2 X 10 CAIBRO,undefined
1801048,ARAME 18 RECOZIDO ACO & FERRO KG,undefined
1801049,CAIXA DAGUA 1000 LTS POLIETILENO,undefined
1801050,CIMENTO POTY SACO,undefined
1801051,MANGUEIRA CRISTAL 3/4 X 2.0 METRO,undefined
1801052,TABUA PINOS 3,00 X 0,20 MTS,undefined
1801053,CAVADEIRA ARTICULADA 1,40 MT,undefined
1801054,TIJOLO FURADO CERAMICA,undefined
1801055,TABUA PINOS 3,00 X 0,30 MTS,undefined
1801056,TIJOLO REFRATARIO 19 X 9 X 4 BRANCO,undefined
1801057,BRITA M,undefined
1801058,PA QUADRADA N 03 C/ CABO 71 CM,undefined
1801059,CHIBANCA S/ CABO LARGA,undefined
1801060,LINHA NYLON N. 70,undefined
1801061,CARRO DE MAO 3.5 X 8,undefined
1801062,ENXADA ESTAMPADA 2,5,undefined
1801063,CABO P/ PICARETA - CHIBANCA 0,91 CM,undefined
1801064,CABO MADEIRA P/ ENXADA 1,50 M,undefined
1801065,TALHADEIRA 10 DE ACO LISO,undefined
1801066,PONTEIRO REDONDO 8,undefined
1801067,CAIXA PRETA P/ MASSA,undefined
1801068,BALDE 12 LTS PLASTICO P/ CONSTRUCAO,undefined
1801069,MANGUEIRA CRISTAL 1/4 X 1/5 MM NIVE,undefined
7898307292401,ADIT P/RADIADOR TECBRIL ORGANICO 1L,undefined
1801070,SERRA STARRET 18 DENTES,undefined
1801071,FERRO 3/8,undefined
1801072,TORQUES ARMADOR 12 PACETA,undefined
1801073,ADESIVO 17 GR,undefined
1801074,CAP SOLDAVEL 20MM,undefined
1801075,XAROPE ROUTIN AVELA 1LT,undefined
2002001,PROMO MENTOS DUO BLACK ICE37,5G 2UN,undefined
2002002,PROMO MENTOS FRUIT 37,5G 2UN,undefined
2002003,PROMO MENTOS FRUTAS VERM 37,5G 2UN,undefined
2002004,PROMO MENTOS ICE MINT 37,5G 2UN,undefined
2002005,PROMO MENTOS MINT 37,5G 2UN,undefined
2002006,PROMO MENTOS NOVO RAINBOW 38G 2UN,undefined
2002007,PROMO MENTOS TUTTI FRUTTI 37,5G 2UN,undefined
2002008,PROMO MENTOS UP2U T.FRUTTI37,5G 2UN,undefined
2002009,PROMO PEPSI COLA LATA 350ML 4UN,undefined
2002010,PROMO CERV BUDWEISER LATA 350ML 3UN,undefined
2002011,PROMO CERV BUDWEISER LN 343ML 3UN,undefined
1801076,TONER BROTHER TN 420,undefined
1801077,SABONETE TALIMPO 5 LTS,undefined
1801078,PAPEÇ HIG. NESSE 30MTS,undefined
1801079,PATO PASTILHA ADESIVA FRESH,undefined
1801080,SACO P LIXO 200 L 0,06 PRETO,undefined
1801081,VEJA MULTI-USO ORIGINAL 500 ML,undefined
1801082,LIMPADOR C BRILHO 5 LTS,undefined
1801083,ALCOOL SANTA CRUZ 96 1 LT,undefined
1801084,LUVA P LAVADOR DE VIDRO DE 25 CM,undefined
1801085,CABO P/ PA,undefined
1801086,METALON 16X16,undefined
1801087,METALON 50MM X 30MM,undefined
1801088,METALON 25X25,undefined
1801089,METALON 30X20,undefined
1801090,METALON GALV. 20X20,undefined
1801091,METALON GALV. 25X25,undefined
1801092,METALON GALV. 25X25 ( 1,25),undefined
1801093,MATALON GALV. 30X20,undefined
1801094,METALON GALV. 30X20 (1,25),undefined
1801095,TUBO GALVANIZADO 2,undefined
1801096,TUBO GALVANIZADO 3,undefined
1801097,TUBO GALVANIZADO 3/4,undefined
1801098,TUBO INDUSTRIAL (01A) 1/2,undefined
1801099,TUBO INDUSTRIAL (02B) 5/8,undefined
1801100,COLUNA DOBRADA 3/8 17X17,undefined
1801101,CLIPES 2/0 GALV C 100 ACC,undefined
1801102,GRAMPO 26/6 C 5000 ACC,undefined
1801103,CLIPES 6/0 GALV C 50,undefined
1801104,FITA ADESIVA TR 12X30 ACRILICA,undefined
1801105,TESOURA ERGONOMICA 19CM,undefined
1801106,FITA ADESIVA TR 45X45,undefined
1801107,PASTA AZ OF LL,undefined
1801108,COLA BASTAO BR 10G,undefined
1801109,TESOUSA ESC 12CM S PONTA,undefined
1801110,MARC. CD DVD 1.0 AZ,undefined
1801111,MARC. CD DVD 1.0 PT,undefined
1801112,GRAMPO COMB 26/8 C 5000,undefined
1801113,PERFURADOR 2F STAPS 40FL,undefined
1801114,PASTA GR TRILHO VM,undefined
1801115,PRANCHETA ACRILICA,undefined
1801116,PAPEL A4 75G 500F,undefined
1801117,CALC MESA 12 DIG,undefined
1801118,AIR ZIX 5 LTS,undefined
1801119,PULVERIZADOR 300 ML,undefined
1801120,GRAMPO GALV 23/13 C 5000,undefined
1801121,PASTA ELAST 40MM OF AZ,undefined
1801122,GRAMPEADOR 25F 26/06,undefined
1801123,PASTA SANF 31DV A4 ELAS,undefined
1801124,ARROZ NAMORADO BRANCO 1KG,undefined
1801125,FEIJÃO CORDA,undefined
1801126,MEMORIA MARKI VISION 4 GB,undefined
1801127,PLACA MAE GIGABYTE GA-H6,undefined
1801128,HD SEAGATE ITB INT,undefined
1801129,PROC. INTEL. CORE 13,undefined
1801130,GABINETE ATX GOLDENTEC 2B,undefined
1801131,PUXADOR P/ PORTA DE VIDRO INC G,undefined
1801132,MARTELO UNHA 27MM MASTER TRAMONTINA,undefined
1801133,PROTETOR AURICULAR PLUG CARBOGRAFIT,undefined
1901013,ESTOCAGEM GNV 10 CILINDO,undefined
1801134,MANGUEIRA ABASTECIMENTO 180MM,undefined
1801135,BICO ABASTECIMENTO,undefined
1801136,KIT REPARO VALVULA 3VIAS HOKE,undefined
1801137,BLOCOS NP,undefined
1801138,PAPEL HIG. 30MTS PCT C/4RLS,undefined
1801139,SACO  P/ LIXO 60L,undefined
1801140,VEJA VIDREX TRADICIONAL C/ GATILHO,undefined
1801141,DESINFETANTE 5LTS,undefined
1801142,CAMARA P/ CARRO DE MAO - 3,50 X 8,undefined
1801143,PNEU CAR CONST 3,25 X 8,undefined
1801144,ESQUELETO 17 X 7 FERRO 3/8 VIGA,undefined
1801145,SACO KRAFT BCO 4222 SELECT C/500,undefined
1801146,SACOLA PLAST 30X40 SELECT C/2000,undefined
1801147,SACOLA PLAST 40X50 SELECT C/2000,undefined
1801148,PRATO PAPEL PLAST 18CM SELECT C/500,undefined
1801149,BARCA SELECT C/500,undefined
1801150,GUARD. PAPEL 17X22 SELECT C/9000,undefined
1801151,GUARD. PAPEL 22X33 SELECT C/4000,undefined
1801152,MASSA CORRIDA HIDROTINTAS LT,undefined
1801153,LIXA MASSA 120,undefined
1801154,DISCO DE SERRA CIRCULAR 24 DENTES,undefined
1801155,EXTENSAO TRIPLA 10 MTS,undefined
1801156,DISCO RED DIAMOND TURBO EXTRA CORTE,undefined
1801157,TOUCA REDE PTA,undefined
1801449,REGISTRO GLOBO ANGULAR 2 1/2,undefined
1801158,GARRAFA CREAM PROF PLS ISI 1/2,undefined
7891342012072,FILTRO TECFIL ARL6070,undefined
1801159,CB FLEX 1KV 01X0,95,00,undefined
1801160,TERM COMPR 1F/1C 095MM,undefined
1801161,DISJ 3P 175A 25KA 380V,undefined
2001031,PROMO TODDY COOKIES+TODDYNHO,undefined
2001032,PROMO LATTE AVELA+PAO C/REQUEIJAO,undefined
1801162,LONA PRETA MICRA 4 X 100,undefined
1801163,ESQUELETO 17X17 (6X1/2) METRO LINEA,undefined
1801164,ESQUELETO 17X17 METRO LINEAR PONTUA,undefined
1801165,ESQUEL 0,17X0,17X06X3/8 DIST 0,15MT,undefined
1801166,ESQ 0,36X0,16X5X12X3X3/8X4X5/16 0,1,undefined
1801167,ESQ 0,26X0,15X05X3/8X02X5/16 DIS 0,,undefined
7891962047638,CHOCOTTONE MOUSSE 440G,undefined
1801168,FERRO 1/2 MT,undefined
1801169,PREGO C/ CABECA 1.1/4 X 14 RIPA KL,undefined
1801170,VALTERRANA M,undefined
1801171,MADEIRITE 1,10 X 2,0 MTS 0,10 MM,undefined
1901014,MOINHO CK A8 ON DEMAND 580,undefined
1801172,ARROZ CELIA PARB. L.F TP1,undefined
1801173,BISC. C. CRACKER ESTRELA,undefined
1801174,ABRACADEIRA  P/TUBO 25MM,undefined
