cod_barras,descricao,codigo,Novo_codigo
78940925,CIG DUNHIL EVOQUE EFFECT,0000000211    ,undefined
7891008121728,CHOC TALENTO AVELÂS 85G,0000000212    ,undefined
742832250535,PAPEL BEM BOLADO KINK SIZE LARGE,0000000213    ,undefined
7891152801880,BISC RICHESTER ESCURETO 80G.,0000000214    ,undefined
7892840820244,BATATA SENSACOES PEITO DE PERU 40G,0000000215    ,undefined
7891152801972,BISC RICHESTER LIMAO C/ CHOC BRANCO 125G,0000000216    ,undefined
7896024761316,BISC PIRAQUE RECHEADO LIMAO 76G,0000000217    ,undefined
7896024761354,BISC PIRAQUE MALTADO CHOCOLATE 85G,0000000218    ,undefined
7896024761323,BISC PIRAQUE RECHEADO PRETTY 76G,0000000219    ,undefined
7891965230273,PIPOCA HIKARI MICROONDAS MANTEIGA 100G,0000000220    ,undefined
7891149105588,CERV L NECK SKOL BEATS SENSES 313ML,0000000221    ,undefined
7891079013847,NISSIN UFO YAKISSOBA CARNE 97G,0000000222    ,undefined
038000265631,BATATA PRINGLES MOSTARDA E MEL 158G,0000000223    ,undefined
038000265617,BATATA PRINGLES SAL E VINAGRE 158G,0000000224    ,undefined
7892840819361,DORITOS DINAMITA SPICY CHEESE 48G,0000000225    ,undefined
0002536,MINI SALGADOS,0000000226    ,undefined
78941090,CIG ROTHMANS INTERNACIONAL 2 CAPSULA,0000000227    ,undefined
78919433,CIG KENT PRIME RED BOX,0000000228    ,undefined
7893218003610,SMIRNOFF ICE LATA 269ML,0000000229    ,undefined
7896383730428,YPIOCA MESTRE PRATA 965ML,0000000230    ,undefined
7892840818432,TORCIDA MEXICANA 45G,0000000231    ,undefined
7892840817886,CHEETOS TUBO 32G,0000000232    ,undefined
7892840819705,RUFFLES ORIGINAL 35G,0000000233    ,undefined
040232885501,PAPEL BEM BOLADO PITEIRA BRANCA ,0000000234    ,undefined
798190191270,CIG DE PALHA ORIGINAL C/ PITEIRA{CM 20DP},0000000235    ,undefined
78945456,TIC TAC LARANJA 14G,0000000236    ,undefined
7898994887157,ISQUERO GTI GRANDE TRANSPARENTE ,0000000237    ,undefined
7891991296472,CERV L NECK SKOL BEATS GT 313 ML,0000000238    ,undefined
0602005       ,REFRI.KUAT 2,25 LTS,0000000239    ,undefined
789199100833  ,REFRI.SODA  ANTARCTICA  LATA,0000000240    ,undefined
7891075079113 ,PIC KIBON MAGNUM DESEJO,0000000241    ,undefined
7891152342031,BOLINHO RICHESTER ZOO MORANGO 40G,0000000242    ,undefined
7898024051091 ,STP ATF FLUID 100ML,0000000243    ,undefined
7892840814670,PINGO DE OURO PICANHA 35G,0000000244    ,undefined
7891342013758,FILTRO DE AR TEC FIL ARL 1655,0000000245    ,undefined
7891342012485,FILTRO ACP 554,0000000246    ,undefined
7798186473000,FILTRO JFC H27,0000000247    ,undefined
7898917469163,PIC PARDAL FLOCOS,0000000248    ,undefined
7893218003405,WHISKY BLACK E WHITE 250 ML,0000000249    ,undefined
7891095031177,BATATA PALHA YOKI PARMESAO 100G,0000000250    ,undefined
7898915949315,CERV L NECK IMPERIO PILSEN LN 275ML,0000000251    ,undefined
7891330018772,CHOC BIBS STICKS AVELA 32G,0000000252    ,undefined
78940918,CIG ROTHMANS BLUE SERIES KS,0000000253    ,undefined
7898917469231 ,PIC PARDAL MARACUJA LACTOSE,0000000254    ,undefined
7891330018710,CHOC BIBS 40 CACAU 9G,0000000255    ,undefined
7898142865082,TORTUGUITTA BRIGADEIRO ARCOR,0000000256    ,undefined
7898917469064,SORV PARDAL 140ML CASTANHA,0000000257    ,undefined
7894900031515,REF FANTA LARANJA 2LT,0000000258    ,undefined
9002490264093,ENERGETICO RED BULL CEREJA 250ML,0000000259    ,undefined
7894900020014,REF COCA COLA STEVIA 250ML,0000000260    ,undefined
7898142865129,TORTUGUITA NAPOLITANO 15,5G,0000000261    ,undefined
7898929071231,AGUA DE COCO VERDE NATURAL 330ML,0000000262    ,undefined
7891342005364 ,FILTRO PSL 818,0000000263    ,undefined
7891342017152,FILTRO ARL 4161,0000000264    ,undefined
7891152300369 ,WAFER ESCURETO 120 G,0000000265    ,undefined
7898657830230,WAFER FUTURINHOS TORTA DE LIMAO 90G,0000000266    ,undefined
7896336000578,AMENDOIM GRELHADITOS SEM PELE 60G,0000000267    ,undefined
7898403780604 ,IOG BETANIA MEL 180G,0000000268    ,undefined
7898403780642 ,IOG DESN BETANIA C/POLPA DE AMEIXA,0000000269    ,undefined
7896002110983,SMIRNOFF ICE KIWI 275ML,0000000270    ,undefined
7891344007533 ,LUBRAX AVANTE 10W40 1L,0000000271    ,undefined
7891152110166 ,BISC MAIZENA SUPERIORE 200 G,0000000272    ,undefined
78918887,CIG KENT PRIME SILVER BOX,0000000273    ,undefined
78924147,CIG LUCKY STRIKE FRESH MINT,0000000274    ,undefined
0603011       ,AGUA NEBLINA S/GAS 330ML,0000000275    ,undefined
7892840822057,FANDANGOS BACON 33G,0000000276    ,undefined
7891000261484,NINHO POUCH MAÇA E BANANA 100G,0000000277    ,undefined
78920552,CIG ROTHMANS INTERNACIONAL SLS,0000000278    ,undefined
7891342014328,FILTRO TECFIL ACP 483,0000000279    ,undefined
7891150081963,MAGNUM ZERO CHOCOLATE 67G,0000000280    ,undefined
7896024761392,BISC PIRAQUE RECHEADO SUPREME CHOC MACA 80G,0000000281    ,undefined
7622210674395,CHOC LACTA SHOT 80G,0000000282    ,undefined
7891150054936,PIC KIBON FRUTTARE MANGA 81G,0000000283    ,undefined
7896004007045,SNACK CHEEZ IT PARMESAO 65G,0000000284    ,undefined
7891344013046,LUBRAX EXTREMO 5W-30 1L,0000000285    ,undefined
7898915411041,PAPEL ALEDINHA CELULOSE MINI SIZE,0000000286    ,undefined
7898213970974,REF GRAPETTE 250ML,0000000287    ,undefined
7891024132906 ,CREME DENTAL COLG ANTI CÁRIES 50G,0000000288    ,undefined
0798190191256,FUMO BEM BOLADO ORIGINAL,0000000289    ,undefined
7899441569046,DESFIADOR DE FUMO METAL TAMBOR BALA,0000000290    ,undefined
7891342012256,FILTRO DE AR ARL 2332,0000000291    ,undefined
040232885464,PAPEL BEM BOLADO PREMIUM ,0000000292    ,undefined
7622210561862,BUBBALOO BALA CITRICA MIX 82,5G,0000000293    ,undefined
7898132844851,AMAZOO ACAI TRADICIONAL 300ML,0000000294    ,undefined
7622210561909,BUBBALOO BALA CITRICA MORANGO 82,5G,0000000295    ,undefined
7896463105931,ECONOFLEX 185ML,0000000296    ,undefined
7898917468623,SORV PARDAL 440ML MENTA/CHOC,0000000297    ,undefined
7891962015620 ,BOLINHO BAUDUCCO MORANGO,0000000298    ,undefined
7891152342017 ,BOLINHO RICHESTER ZOO BAUNILHA 40G,0000000299    ,undefined
7892840254742,RUFFLES CHURRASCO 96G,0000000300    ,undefined
7896311769087,BARRA PROTEIN CRISP CHURROS DOCE DE LEITE 45G,0000000301    ,undefined
7891991002646 ,REF GUARANA ANTARCTICA 600ML,0000000302    ,undefined
7891344007786 ,LUBRAX ESSENCIAL ALTA RODAGEM 3L,0000000303    ,undefined
7622210561800,BUBBALOO BALA MIX 15G,0000000304    ,undefined
7891342017824,FILTRO ART 9618,0000000305    ,undefined
7898952050067,FUMO DUBLIN ICE MINT 25G,0000000306    ,undefined
7891000305270,BISC BONO DOCE DE LEITE 126G,0000000307    ,undefined
7891000259047,LEITE NINHO INTEGRAL 175G,0000000308    ,undefined
7891150068315,SORV KIBON SUNDAE TRUFADO 1,4 L,0000000309    ,undefined
78309405141,PILHA RAYOVAC ALCALINA A23,0000000310    ,undefined
7891342517751,FILTRO DE AR AP9496,0000000311    ,undefined
7891342010528 ,FILTRO PSL 655,0000000312    ,undefined
